name,city,founded,website
University of Alcalá,University of Alcalá,1977,
Alfonso X University,Alfonso X University,1993,
University of Alicante,University of Alicante,1979,
University of Almería,University of Almería,1993,
International University of Andalusia,International University of Andalusia,1994,
Catholic University of Ávila,Catholic University of Ávila,1996,
Atlantic-Mediterranean Technological University,Atlantic-Mediterranean Technological University,2023,
European University of the Atlantic,European University of the Atlantic,2013,
University of the Middle Atlantic,University of the Middle Atlantic,2015,
University of the Balearic Islands,University of the Balearic Islands,1978,
Autonomous University of Barcelona,Autonomous University of Barcelona,1968,
International University of Catalonia,International University of Catalonia,1997,
University of Barcelona,University of Barcelona,1450,
University of the Basque Country,University of the Basque Country,1980,
University of Burgos,University of Burgos,1994,
University of Cádiz,University of Cádiz,1979,
Camilo José Cela University,Camilo José Cela University,1998,
European University of Canarias,European University of Canarias,2010,
University of Cantabria,University of Cantabria,1972,
Polytechnic University of Cartagena,Polytechnic University of Cartagena,1998,
Polytechnic University of Catalonia,Polytechnic University of Catalonia,1971,
University of Castilla–La Mancha,University of Castilla–La Mancha,1985,
Abat Oliba CEU University,Abat Oliba CEU University,2003,
Universidad CEU Cardenal Herrera,Universidad CEU Cardenal Herrera,1999,
CEU San Pablo University,CEU San Pablo University,1993,
Carlos III University of Madrid,Carlos III University of Madrid,1989,
Comillas Pontifical University,Comillas Pontifical University,1890,
University of Córdoba,University of Córdoba,1972,
University of A Coruña,University of A Coruña,1989,
University of the Conservation,University of the Conservation (in Catalan),1991,https://ca.wikipedia.org/wiki/Escola_Superior_de_Conservaci%C3%B3_i_Restauraci%C3%B3_de_B%C3%A9ns_Culturals_de_Catalunya
CUNEF University,CUNEF University,2019,
University of Deusto,University of Deusto,1886,
"University of Design, Innovation,and Technology","University of Design, Innovation,and Technology (in Spanish)",2022,"https://es.wikipedia.org/wiki/Universidad_de_Dise%C3%B1o,_Innovaci%C3%B3n_y_Tecnolog%C3%ADa"
National University of Distance Education,National University of Distance Education,1972,
Miguel Hernández University of Elche,Miguel Hernández University of Elche,1996,
ESIC University,ESIC University,2019,
European University,European University,1973,
University of Extremadura,University of Extremadura,1973,
Fernando III University,Fernando III University,2023,https://es.wikipedia.org/wiki/Universidad_Fernando_III
Fernando Pessoa Canarias University,Fernando Pessoa Canarias University,2014,
Francisco de Vitoria University,Francisco de Vitoria University,1993,
European University Gasteiz,European University Gasteiz,2021,
University of Girona,University of Girona,1446,
University of Granada,University of Granada,1531,
University of Huelva,University of Huelva,1993,
IE University,IE University,2008,
Intercontinental University of Business,Intercontinental University of Business,2021,https://es.wikipedia.org/wiki/Universidad_Intercontinental_de_la_Empresa
University Isabel I,University Isabel I,2011,
University of Jaén,University of Jaén,1993,
Jaume I University,Jaume I University,1991,
